date,rolling_sharpe,rolling_ic_mean
2023-01-03,,
2023-01-04,,
2023-01-05,,
2023-01-06,,
2023-01-09,,
2023-01-10,,
2023-01-11,,
2023-01-12,,
2023-01-13,,
2023-01-17,,
2023-01-18,,
2023-01-19,,
2023-01-20,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,,
2023-01-30,,
2023-01-31,,
2023-02-01,,
2023-02-02,,
2023-02-03,,
2023-02-06,,
2023-02-07,,
2023-02-08,,
2023-02-09,,
2023-02-10,,
2023-02-13,,
2023-02-14,,
2023-02-15,,
2023-02-16,,
2023-02-17,,
2023-02-21,,
2023-02-22,,
2023-02-23,,
2023-02-24,,
2023-02-27,,
2023-02-28,,
2023-03-01,,
2023-03-02,,
2023-03-03,,
2023-03-06,,
2023-03-07,,
2023-03-08,,
2023-03-09,,
2023-03-10,,
2023-03-13,,
2023-03-14,,
2023-03-15,,
2023-03-16,,
2023-03-17,,
2023-03-20,,
2023-03-21,,
2023-03-22,,
2023-03-23,,
2023-03-24,,
2023-03-27,,
2023-03-28,,
2023-03-29,,
2023-03-30,,
2023-03-31,,
2023-04-03,0.0954745239055775,-0.0006342224084159585
2023-04-04,0.08476671515024053,0.00031420192710515085
2023-04-05,0.10374532696408763,-0.0015070055392636056
2023-04-06,0.08083753235021213,0.005370525531815853
2023-04-10,0.0895173276491286,0.005946562398175301
2023-04-11,0.07361103060284711,0.00434645999162128
2023-04-12,0.07166684860546906,0.006604059023413861
2023-04-13,0.06268215033549546,0.005900013964530092
2023-04-14,0.0638937677439792,0.01182912070008844
2023-04-17,0.07256844909541925,0.008704557091653865
2023-04-18,0.09546950496046203,0.008669645766419957
2023-04-19,0.10236008421526384,0.0054810780617232215
2023-04-20,0.07805366652030812,0.002577619513103383
2023-04-21,0.06975798956041909,0.005376344086021504
2023-04-24,0.03426657197611052,-0.0019259414420704753
2023-04-25,0.017372659679986677,-0.002327421682260393
2023-04-26,0.033219607486965494,-0.0030780151747893695
2023-04-27,0.05207516959325774,0.0035493180654470958
2023-04-28,0.07469274900909433,0.008890750826234695
2023-05-01,0.03978938929642374,0.003962435414048316
2023-05-02,0.013215524592550537,0.002909277102825488
2023-05-03,-0.018691613208566483,-0.0008844202392589508
2023-05-04,0.01408363278978321,-0.007401200949588048
2023-05-05,0.01530181502867938,-0.011840757808499743
2023-05-08,-0.008617459700425087,-0.0121898710608388
2023-05-09,0.006949829336134872,-0.009431876367360238
2023-05-10,0.013408103855346618,-0.009606432993529767
2023-05-11,0.009734268433979839,-0.004008983847693525
2023-05-12,-0.005459723583692089,-0.005539263603779729
2023-05-15,-0.022773874797718557,-0.00998463901689708
2023-05-16,-0.005365026051752597,-0.011264720942140293
